Year,Units completed,Price Index 2009 = 100
1990,13739,24.2928
1991,10452,24.9435
1992,18482,25.8111
1993,17888,30.2214
1994,25987,50.3931
1995,26185,57.2616
1996,27484,80.5422
1997,31312,98.5449
1998,36609,81.699
1999,34836,71.2155
2000,27678,80.3253
2001,23913,73.2399
2002,10141,69.0465
2003,10082,70.9986
2004,5326,75.2643
2005,5673,77.1441
2006,2733,73.6014
2007,5063,75.8427
2008,3154,91.2426
2009,5208,100
2010,10161,112.1
2011,19945,126.4
2012,12744,138.5
2013,14004,148.6
2014,25525,143.5
2015,24773,135.6
2016,26025,134.7
